titolo,tariffa_noleggio,data_rilascio,durata,lingua,voto,lingua_originale_id,costo_sostituzione,descrizione,film_id,durata_noleggio
TRAINSPOTTING STRANGERS,4.99,2006,132,English,PG-13,,10.99,A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan,905,7
TRAMP OTHERS,0.99,2006,171,English,PG,,27.99,A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India,906,4
TRANSLATION SUMMER,0.99,2006,168,English,PG-13,,10.99,A Touching Reflection of a Man And a Monkey who must Pursue a Womanizer in A MySQL Convention,907,4
TRAP GUYS,4.99,2006,110,English,G,,11.99,A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert,908,3
TREASURE COMMAND,0.99,2006,102,English,PG-13,,28.99,A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California,909,3
TREATMENT JEKYLL,0.99,2006,87,English,PG,,19.99,A Boring Story of a Teacher And a Student who must Outgun a Cat in An Abandoned Mine Shaft,910,3
TROJAN TOMORROW,2.99,2006,52,English,PG,,9.99,A Astounding Panorama of a Husband And a Sumo Wrestler who must Pursue a Boat in Ancient India,912,3
TROOPERS METAL,0.99,2006,115,English,R,,20.99,A Fanciful Drama of a Monkey And a Feminist who must Sink a Man in Berlin,913,3
TROUBLE DATE,2.99,2006,61,English,PG,,13.99,A Lacklusture Panorama of a Forensic Psychologist And a Woman who must Kill a Explorer in Ancient Japan,914,6
TRUMAN CRAZY,4.99,2006,92,English,G,,9.99,A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery,915,7
TURN STAR,2.99,2006,80,English,G,,10.99,A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans,916,3
TUXEDO MILE,2.99,2006,152,English,R,,24.99,A Boring Drama of a Man And a Forensic Psychologist who must Face a Frisbee in Ancient India,917,3
TYCOON GATHERING,4.99,2006,82,English,G,,17.99,A Emotional Display of a Husband And a A Shark who must Succumb a Madman in A Manhattan Penthouse,919,3
UNBREAKABLE KARATE,0.99,2006,62,English,G,,16.99,A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia,920,3
UNCUT SUICIDES,2.99,2006,172,English,PG-13,,29.99,A Intrepid Yarn of a Explorer And a Pastry Chef who must Pursue a Mad Cow in A U-Boat,921,7
UNDEFEATED DALMATIONS,4.99,2006,107,English,PG-13,,22.99,A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park,922,7
UNFORGIVEN ZOOLANDER,0.99,2006,129,English,PG,,15.99,A Taut Epistle of a Monkey And a Sumo Wrestler who must Vanquish a A Shark in A Baloon Factory,924,7
UNTOUCHABLES SUNRISE,2.99,2006,120,English,NC-17,,11.99,A Amazing Documentary of a Woman And a Astronaut who must Outrace a Teacher in An Abandoned Fun House,926,5
UPRISING UPTOWN,2.99,2006,174,English,NC-17,,16.99,A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin,927,6
UPTOWN YOUNG,2.99,2006,84,English,PG,,16.99,A Fateful Documentary of a Dog And a Hunter who must Pursue a Teacher in An Abandoned Amusement Park,928,5
USUAL UNTOUCHABLES,4.99,2006,128,English,PG-13,,21.99,A Touching Display of a Explorer And a Lumberjack who must Fight a Forensic Psychologist in A Shark Tank,929,5
VACATION BOONDOCK,2.99,2006,145,English,R,,23.99,A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia,930,4
VALLEY PACKER,0.99,2006,73,English,G,,21.99,A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin,932,3
VAMPIRE WHALE,4.99,2006,126,English,NC-17,,11.99,A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention,933,4
VANILLA DAY,4.99,2006,122,English,NC-17,,20.99,A Fast-Paced Saga of a Girl And a Forensic Psychologist who must Redeem a Girl in Nigeria,934,7
VANISHING ROCKY,2.99,2006,123,English,NC-17,,21.99,A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention,936,3
VARSITY TRIP,2.99,2006,85,English,NC-17,,14.99,A Action-Packed Character Study of a Astronaut And a Explorer who must Reach a Monkey in A MySQL Convention,937,7
VELVET TERMINATOR,4.99,2006,173,English,R,,14.99,A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park,938,3
VERTIGO NORTHWEST,2.99,2006,90,English,R,,17.99,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,939,4
VICTORY ACADEMY,0.99,2006,64,English,PG-13,,19.99,A Insightful Epistle of a Mad Scientist And a Explorer who must Challenge a Cat in The Sahara Desert,940,6
VIDEOTAPE ARSENIC,4.99,2006,145,English,NC-17,,10.99,A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia,941,4
VIETNAM SMOOCHY,0.99,2006,174,English,PG-13,,27.99,A Lacklusture Display of a Butler And a Man who must Sink a Explorer in Soviet Georgia,942,7
VIRGIN DAISY,4.99,2006,179,English,PG-13,,29.99,A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank,944,6
VIRGINIAN PLUTO,0.99,2006,164,English,R,,22.99,A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin,945,5
VISION TORQUE,0.99,2006,59,English,PG-13,,16.99,A Thoughtful Documentary of a Dog And a Man who must Sink a Man in A Shark Tank,947,5
VOICE PEACH,0.99,2006,139,English,PG-13,,22.99,A Amazing Panorama of a Pioneer And a Student who must Overcome a Mad Scientist in A Manhattan Penthouse,948,6
VOLCANO TEXAS,0.99,2006,157,English,NC-17,,27.99,A Awe-Inspiring Yarn of a Hunter And a Feminist who must Challenge a Dentist in The Outback,949,6
VOLUME HOUSE,4.99,2006,132,English,PG,,12.99,A Boring Tale of a Dog And a Woman who must Meet a Dentist in California,950,7
WAIT CIDER,0.99,2006,112,English,PG-13,,9.99,A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse,953,3
WAKE JAWS,4.99,2006,73,English,G,,18.99,A Beautiful Saga of a Feminist And a Composer who must Challenge a Moose in Berlin,954,7
WANDA CHAMBER,4.99,2006,107,English,PG-13,,23.99,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,956,7
WAR NOTTING,4.99,2006,80,English,G,,26.99,A Boring Drama of a Teacher And a Sumo Wrestler who must Challenge a Secret Agent in The Canadian Rockies,957,7
WARDROBE PHANTOM,2.99,2006,178,English,G,,19.99,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,958,6
WARLOCK WEREWOLF,2.99,2006,83,English,G,,10.99,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,959,6
WARS PLUTO,2.99,2006,128,English,G,,15.99,A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert,960,5
WASH HEAVENLY,4.99,2006,161,English,R,,22.99,A Awe-Inspiring Reflection of a Cat And a Pioneer who must Escape a Hunter in Ancient China,961,7
WATERFRONT DELIVERANCE,4.99,2006,61,English,G,,17.99,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,964,4
WATERSHIP FRONTIER,0.99,2006,112,English,G,,28.99,A Emotional Yarn of a Boat And a Crocodile who must Meet a Moose in Soviet Georgia,965,6
WEDDING APOLLO,0.99,2006,70,English,PG,,14.99,A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft,966,3
WEEKEND PERSONAL,2.99,2006,134,English,R,,26.99,A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat,967,5
WEST LION,4.99,2006,159,English,G,,29.99,A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse,969,4
WESTWARD SEABISCUIT,0.99,2006,52,English,NC-17,,11.99,A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China,970,7
WIFE TURN,4.99,2006,183,English,NC-17,,27.99,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,973,3
WILD APOLLO,0.99,2006,181,English,R,,24.99,A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention,974,4
WILLOW TRACY,2.99,2006,137,English,R,,22.99,A Brilliant Panorama of a Boat And a Astronaut who must Challenge a Teacher in A Manhattan Penthouse,975,6
WIND PHANTOM,0.99,2006,111,English,R,,12.99,A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft,976,6
WINDOW SIDE,2.99,2006,85,English,R,,25.99,A Astounding Character Study of a Womanizer And a Hunter who must Escape a Robot in A Monastery,977,3
WISDOM WORKER,0.99,2006,98,English,R,,12.99,A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station,978,3
WITCHES PANIC,4.99,2006,100,English,NC-17,,10.99,A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria,979,6
WIZARD COLDBLOODED,4.99,2006,75,English,PG,,12.99,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,980,4
WOLVES DESIRE,0.99,2006,55,English,NC-17,,13.99,A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse,981,7
WOMEN DORADO,0.99,2006,126,English,R,,23.99,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,982,4
WONDERFUL DROP,2.99,2006,126,English,NC-17,,20.99,A Boring Panorama of a Woman And a Madman who must Overcome a Butler in A U-Boat,984,3
WONKA SEA,2.99,2006,85,English,NC-17,,24.99,A Brilliant Saga of a Boat And a Mad Scientist who must Meet a Moose in Ancient India,986,6
WORDS HUNTER,2.99,2006,116,English,PG,,13.99,A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention,987,3
WORKER TARZAN,2.99,2006,139,English,R,,26.99,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,988,7
WORKING MICROCOSMOS,4.99,2006,74,English,R,,22.99,A Stunning Epistle of a Dentist And a Dog who must Kill a Madman in Ancient China,989,4
WORLD LEATHERNECKS,0.99,2006,171,English,PG-13,,13.99,A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park,990,3
WORST BANGER,2.99,2006,185,English,PG,,26.99,A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback,991,4
WRATH MILE,0.99,2006,176,English,NC-17,,17.99,A Intrepid Reflection of a Technical Writer And a Hunter who must Defeat a Sumo Wrestler in A Monastery,992,5
WRONG BEHAVIOR,2.99,2006,178,English,PG-13,,10.99,A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans,993,6
WYOMING STORM,4.99,2006,100,English,PG-13,,29.99,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat,994,6
YOUNG LANGUAGE,0.99,2006,183,English,G,,9.99,A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station,996,6
YOUTH KICK,0.99,2006,179,English,NC-17,,14.99,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,997,4
ZORRO ARK,4.99,2006,50,English,NC-17,,18.99,A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery,1000,3
